result_id,player_id,avg_speed,distance_high_speed_running,distance_high_speed_sprinting,distance_jogging,distance_low_speed_sprinting,distance_walking,speed_runs,sprints,top_speed,total_distance,receptions_under_indirect_pressure,receptions_under_direct_pressure,received_offers_to_receive,linebreaks_attempted_all_lines,offers_to_receive_in_between,distributions_completed_under_pressure,offers_to_receive_in_behind,goalkeeper_defensive_actions_outside_penalty_area,linebreaks_attempted,linebreaks_attempted_attacking_line,linebreaks_attempted_attacking_line_completed,linebreaks_attempted_midfield_line_completed,linebreaks_attempted_defensive_line_completed,linebreaks_attempted_under_pressure,offers_to_receive_inside,offers_to_receive_outside,receptions_between_midfield_and_defensive_line,offers_to_receive_in_front,distributions_under_pressure,linebreaks_attempted_midfield_line,receptions_under_pressure,goalkeeper_goal_preventions,goalkeeper_defensive_actions_inside_penalty_area,receptions_under_no_pressure,linebreaks_attempted_completed,linebreaks_attempted_defensive_line,offers_to_receive_total,linebreaks_completed_under_pressure,linebreaks_completed_all_lines,linebreaks_completed_midfield_and_defensive_line,linebreaks_attempted_midfield_and_defensive_line,linebreaks_attempted_attacking_and_midfield_line,attempted_switches_of_play,completed_switches_of_play,direct_defensive_pressures_applied,defensive_pressures_applied,completed_ball_progressions,linebreaks_completed_attacking_and_midfield_line,attempted_ball_progressions,take_ons_completed,crosses_completed,crosses,passes_completed,yellow_cards,red_cards,direct_free_kicks,indirect_free_kicks,free_kicks,attempt_at_goal_inside_the_penalty_area,goals_outside_the_penalty_area,headed_attempt_at_goal,own_goals,attempt_at_goal_on_target,attempt_at_goal,assists,goals_conceded_from_attempt_at_goal_against,attempt_at_goal_outside_the_penalty_area,passes,goals,fouls_against,attempt_at_goal_outside_the_penalty_area_on_target,attempt_at_goal_off_target,goals_from_direct_free_kicks,substitutions_out,substitutions_in,time_played,penalties_scored,penalties,throw_ins,corners,goal_kicks,goals_inside_the_penalty_area,attempt_at_goal_inside_the_penalty_area_on_target,attempt_at_goal_from_free_kicks,fouls_for,offsides,attempt_at_goal_blocked,player_name,date
131884,381550,6.62,2596.8013539999997,350.056308,3523.6800059999996,911.467368,3624.9541579999996,203,75,31.51,11008.06,14,1,3,1,14,7,3,0,9,3,0,0,0,8,5,14,11,2,17,3,15,0,0,5,0,3,19,0,0,0,1,3,0,0,8,58,2,3,2,1,0,3,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12,0,3,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,Melissa HERRERA,2023-07-21T19:30:00Z
131884,386857,7.24,1329.506,114.47272,1367.8138000000001,391.19024,1303.81724,93,31,30.67,4506.8,2,0,1,0,2,4,2,0,1,0,0,1,0,1,3,3,1,2,4,1,2,0,0,3,1,0,6,1,0,0,0,0,0,0,1,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,Cristin GRANADOS,2023-07-21T19:30:00Z
131884,386875,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carol SANCHEZ,2023-07-21T19:30:00Z
131884,387133,6.3,2697.2843039999993,155.088608,3562.8464,625.5939119999999,3438.1467759999996,213,54,30.14,10478.96,4,5,4,0,0,10,0,0,14,6,4,4,0,4,2,4,4,6,14,8,9,0,0,65,8,0,6,1,0,0,0,1,1,0,2,2,2,1,2,0,0,1,61,0,0,1,0,1,2,0,1,0,0,3,0,0,1,67,0,2,0,2,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,Irene PAREDES,2023-07-21T19:30:00Z
131884,387138,6.42,2558.0776899999996,70.37646000000001,3930.41866,488.36998,3616.9235200000003,206,41,28.62,10663.1,32,2,25,0,24,31,21,0,21,2,2,16,1,12,31,28,17,14,43,18,34,0,0,27,19,1,59,11,0,0,0,1,0,0,2,15,2,1,3,1,2,4,43,0,0,1,0,1,5,0,2,0,2,6,0,0,1,49,0,0,0,3,0,0,0,100,0,1,0,3,0,0,2,0,1,2,0,Jennifer HERMOSO,2023-07-21T19:30:00Z
131884,396907,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cata COLL,2023-07-21T19:30:00Z
131884,396911,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva NAVARRO,2023-07-21T19:30:00Z
131884,396914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laia CODINA,2023-07-21T19:30:00Z
131884,396929,7.83,179.64160800000002,78.50063200000001,386.1554,88.65704800000002,325.005312,17,6,28.02,1057.96,3,1,1,0,0,4,1,0,0,0,0,0,0,0,0,1,3,0,6,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,Oihane HERNANDEZ,2023-07-21T19:30:00Z
131884,396930,6.22,2454.716538,440.44411199999996,2785.9988550000003,771.726429,3040.3932990000003,200,70,31.13,9492.33,16,2,24,0,17,28,6,0,19,5,5,11,0,7,6,37,9,20,39,14,18,0,0,51,16,0,43,6,0,0,0,2,0,0,4,7,2,2,2,0,5,8,65,0,0,1,0,1,0,0,0,0,0,0,1,0,0,74,0,0,0,0,0,1,0,92,0,0,13,0,0,0,0,0,0,0,0,Ona BATLLE,2023-07-21T19:30:00Z
131884,398088,6.54,813.7579479999999,101.539069,1217.74613,255.11239399999997,1225.3344589999997,75,21,29.42,3613.49,2,2,5,0,10,5,18,0,2,0,0,2,0,1,14,14,7,0,6,2,4,0,0,8,2,0,28,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,1,0,0,1,33,0,0,0,0,0,0,0,0,0,2,0,Alba REDONDO,2023-07-21T19:30:00Z
131884,398097,6.42,896.141442,85.498847,1129.9328950000001,234.14622000000003,1201.9505960000001,71,21,28.33,3547.67,2,0,9,0,14,3,12,0,5,1,1,3,1,0,13,17,11,4,6,3,2,0,0,26,5,1,30,0,0,1,1,0,0,0,1,3,0,0,1,0,0,2,21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,22,0,0,0,1,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,Mariona CALDENTEY,2023-07-21T19:30:00Z
