match_number,date,stage,home,away,attendance,home_score,away_score,home_penalty_score,away_penalty_score,home_placeholder,away_placeholder,completed,humidity,temperature,wind,group,stadium,winner,match_id,result_id,competition_id,stage_id,season_id
1,2019-06-07T21:00:00Z,First Stage,FRA,KOR,45261,4,0,0,0,A1,A2,2,78,15,32,A,Parc des Princes,FRA,300438238,118409,103,278527,278513
3,2019-06-08T15:00:00Z,First Stage,GER,CHN,15283,1,0,0,0,B1,B2,2,54,18,21,B,Roazhon Park,GER,300438216,118412,103,278527,278513
4,2019-06-08T18:00:00Z,First Stage,ESP,RSA,12044,3,1,0,0,B3,B4,2,62,17,27,B,Stade Océane,ESP,300438234,118410,103,278527,278513
2,2019-06-08T21:00:00Z,First Stage,NOR,NGA,11058,3,0,0,0,A3,A4,2,65,16,12,A,Stade Auguste Delaune,NOR,300438213,118411,103,278527,278513
5,2019-06-09T13:00:00Z,First Stage,AUS,ITA,15380,1,2,0,0,C1,C2,2,60,18,6,C,Stade du Hainaut,ITA,300438227,118413,103,278527,278513
6,2019-06-09T15:30:00Z,First Stage,BRA,JAM,17668,3,0,0,0,C3,C4,2,67,24,7,C,Stade des Alpes,BRA,300438219,118414,103,278527,278513
7,2019-06-09T18:00:00Z,First Stage,ENG,SCO,13188,2,1,0,0,D1,D2,2,53,27,12,D,Stade de Nice,ENG,300438214,118415,103,278527,278513
8,2019-06-10T18:00:00Z,First Stage,ARG,JPN,25055,0,0,0,0,D3,D4,2,60,17,15,D,Parc des Princes,,300438217,118416,103,278527,278513
9,2019-06-10T21:00:00Z,First Stage,CAN,CMR,10710,1,0,0,0,E1,E2,2,43,21,26,E,Stade de la Mosson,CAN,300438218,118417,103,278527,278513
10,2019-06-11T15:00:00Z,First Stage,NZL,NED,10654,0,1,0,0,E3,E4,2,64,17,11,E,Stade Océane,NED,300438237,118418,103,278527,278513
12,2019-06-11T18:00:00Z,First Stage,CHI,SWE,15875,0,2,0,0,F3,F4,2,74,15,4,F,Roazhon Park,SWE,300438224,118420,103,278527,278513
11,2019-06-11T21:00:00Z,First Stage,USA,THA,18591,13,0,0,0,F1,F2,2,65,15,10,F,Stade Auguste Delaune,USA,300438226,118419,103,278527,278513
14,2019-06-12T15:00:00Z,First Stage,NGA,KOR,11252,2,0,0,0,A4,A2,2,44,22,12,A,Stade des Alpes,NGA,300438222,118422,103,278527,278513
15,2019-06-12T18:00:00Z,First Stage,GER,ESP,20761,1,0,0,0,B1,B3,2,70,17,16,B,Stade du Hainaut,GER,300438243,118421,103,278527,278513
13,2019-06-12T21:00:00Z,First Stage,FRA,NOR,34872,2,1,0,0,A1,A3,2,59,22,10,A,Stade de Nice,FRA,300438220,118423,103,278527,278513
17,2019-06-13T18:00:00Z,First Stage,AUS,BRA,17032,3,2,0,0,C1,C3,2,45,22,23,C,Stade de la Mosson,AUS,300438225,118425,103,278527,278513
16,2019-06-13T21:00:00Z,First Stage,RSA,CHN,20011,0,1,0,0,B4,B2,2,68,18,13,B,Parc des Princes,CHN,300438231,118424,103,278527,278513
20,2019-06-14T15:00:00Z,First Stage,JPN,SCO,13201,2,1,0,0,D4,D2,2,51,20,12,D,Roazhon Park,JPN,300438244,118428,103,278527,278513
18,2019-06-14T18:00:00Z,First Stage,JAM,ITA,12016,0,5,0,0,C4,C2,2,51,24,8,C,Stade Auguste Delaune,ITA,300438230,118426,103,278527,278513
19,2019-06-14T21:00:00Z,First Stage,ENG,ARG,20294,1,0,0,0,D1,D3,2,63,18,18,D,Stade Océane,ENG,300438223,118427,103,278527,278513
22,2019-06-15T15:00:00Z,First Stage,NED,CMR,22423,3,1,0,0,E4,E2,2,53,21,11,E,Stade du Hainaut,NED,300438240,118429,103,278527,278513
21,2019-06-15T21:00:00Z,First Stage,CAN,NZL,14856,2,0,0,0,E1,E3,2,79,19,6,E,Stade des Alpes,CAN,300438228,118430,103,278527,278513
24,2019-06-16T15:00:00Z,First Stage,SWE,THA,9354,5,1,0,0,F4,F2,2,76,25,12,F,Stade de Nice,SWE,300438251,118432,103,278527,278513
23,2019-06-16T18:00:00Z,First Stage,USA,CHI,45594,3,0,0,0,F1,F3,2,49,22,14,F,Parc des Princes,USA,300438229,118431,103,278527,278513
27,2019-06-17T18:00:00Z,First Stage,RSA,GER,15502,0,4,0,0,B4,B1,2,37,28,18,B,Stade de la Mosson,GER,300438221,118434,103,278527,278513
28,2019-06-17T18:00:00Z,First Stage,CHN,ESP,11814,0,0,0,0,B2,B3,2,63,20,16,B,Stade Océane,,300438252,118433,103,278527,278513
25,2019-06-17T21:00:00Z,First Stage,NGA,FRA,28267,0,1,0,0,A4,A1,2,54,22,3,A,Roazhon Park,FRA,300438255,118436,103,278527,278513
26,2019-06-17T21:00:00Z,First Stage,KOR,NOR,13034,1,2,0,0,A2,A3,2,60,23,7,A,Stade Auguste Delaune,NOR,300438232,118435,103,278527,278513
30,2019-06-18T21:00:00Z,First Stage,ITA,BRA,21669,0,1,0,0,C2,C3,2,61,23,4,C,Stade du Hainaut,BRA,300438212,118437,103,278527,278513
29,2019-06-18T21:00:00Z,First Stage,JAM,AUS,17402,1,4,0,0,C4,C1,2,55,26,3,C,Stade des Alpes,AUS,300438242,118438,103,278527,278513
32,2019-06-19T21:00:00Z,First Stage,SCO,ARG,28205,3,3,0,0,D2,D3,2,61,22,18,D,Parc des Princes,,300438241,118439,103,278527,278513
31,2019-06-19T21:00:00Z,First Stage,JPN,ENG,14319,0,2,0,0,D4,D1,2,64,26,10,D,Stade de Nice,ENG,300438233,118440,103,278527,278513
34,2019-06-20T18:00:00Z,First Stage,CMR,NZL,8009,2,1,0,0,E2,E3,2,64,28,10,E,Stade de la Mosson,CMR,300438239,118442,103,278527,278513
33,2019-06-20T18:00:00Z,First Stage,NED,CAN,19277,2,1,0,0,E4,E1,2,60,20,12,E,Stade Auguste Delaune,NED,300438254,118441,103,278527,278513
35,2019-06-20T21:00:00Z,First Stage,SWE,USA,22418,0,2,0,0,F4,F1,2,71,17,11,F,Stade Océane,USA,300438245,118443,103,278527,278513
36,2019-06-20T21:00:00Z,First Stage,THA,CHI,13567,0,2,0,0,F2,F3,2,71,16,8,F,Roazhon Park,CHI,300438246,118444,103,278527,278513
38,2019-06-22T17:30:00Z,Round of 16,GER,NGA,17988,3,0,0,0,1B,3ACD,2,54,27,9,,Stade des Alpes,GER,300438215,118445,103,278525,278513
37,2019-06-22T21:00:00Z,Round of 16,NOR,AUS,12229,1,1,4,1,2A,2C,2,79,23,6,,Stade de Nice,NOR,300438247,118446,103,278525,278513
39,2019-06-23T17:30:00Z,Round of 16,ENG,CMR,20148,3,0,0,0,1D,3BEF,2,46,29,15,,Stade du Hainaut,ENG,300438249,118447,103,278525,278513
40,2019-06-23T21:00:00Z,Round of 16,FRA,BRA,23965,2,1,0,0,1A,3CDE,2,55,26,18,,Stade Océane,FRA,300438253,118448,103,278525,278513
41,2019-06-24T18:00:00Z,Round of 16,ESP,USA,19633,1,2,0,0,2B,1F,2,42,30,12,,Stade Auguste Delaune,USA,300438260,118449,103,278525,278513
42,2019-06-24T21:00:00Z,Round of 16,SWE,CAN,38078,1,0,0,0,2F,2E,2,56,29,15,,Parc des Princes,SWE,300438236,118450,103,278525,278513
43,2019-06-25T18:00:00Z,Round of 16,ITA,CHN,17492,2,0,0,0,1C,3ABF,2,54,28,19,,Stade de la Mosson,ITA,300438258,118452,103,278525,278513
44,2019-06-25T21:00:00Z,Round of 16,NED,JPN,21076,2,1,0,0,1E,2D,2,82,22,6,,Roazhon Park,NED,300438250,118451,103,278525,278513
45,2019-06-27T21:00:00Z,Quarter-final,NOR,ENG,21111,0,3,0,0,W37,W39,2,61,25,27,,Stade Océane,ENG,300438262,118453,103,278523,278513
46,2019-06-28T21:00:00Z,Quarter-final,FRA,USA,45595,1,2,0,0,W40,W41,2,41,30,12,,Parc des Princes,USA,300438261,118454,103,278523,278513
47,2019-06-29T15:00:00Z,Quarter-final,ITA,NED,22600,0,2,0,0,W43,W44,2,36,32,10,,Stade du Hainaut,NED,300438235,118455,103,278523,278513
48,2019-06-29T18:30:00Z,Quarter-final,GER,SWE,25301,1,2,0,0,W38,W42,2,57,32,9,,Roazhon Park,SWE,300438263,118456,103,278523,278513
49,2019-07-02T21:00:00Z,Semi-final,ENG,USA,53512,1,2,0,0,W45,W46,2,44,28,18,,Groupama Stadium,USA,300438256,118457,103,278521,278513
50,2019-07-03T21:00:00Z,Semi-final,NED,SWE,48452,1,0,0,0,W47,W48,2,42,29,21,,Groupama Stadium,NED,300438248,118458,103,278521,278513
51,2019-07-06T17:00:00Z,Play-off for third place,ENG,SWE,20316,1,2,0,0,RU49,RU50,2,74,29,12,,Stade de Nice,SWE,300438257,118459,103,278519,278513
52,2019-07-07T17:00:00Z,Final,USA,NED,57900,2,0,0,0,W49,W50,2,35,30,13,,Groupama Stadium,USA,300438259,118460,103,278517,278513
