"Player_Name","Team","Min","Matchday"
"Mariam Diakité","Côte d'Ivoire",0,2015-06-07
"Ines Nrehy","Côte d'Ivoire",39,2015-06-07
"Sandrine Niamien","Côte d'Ivoire",0,2015-06-07
"Ange N'Guessan","Côte d'Ivoire",18,2015-06-07
"Fernande Tchétché","Côte d'Ivoire",52,2015-06-07
"Christine Lohoues","Côte d'Ivoire",0,2015-06-07
"Nadège Cissé","Côte d'Ivoire",0,2015-06-07
"Jessica Aby","Côte d'Ivoire",0,2015-06-07
"Aminata Haidara","Côte d'Ivoire",0,2015-06-07
"Erin Nayler","New Zealand",90,2015-06-06
"Ria Percival","New Zealand",90,2015-06-06
"Katie Duncan","New Zealand",90,2015-06-06
"Abby Erceg","New Zealand",90,2015-06-06
"Rebekah Stott","New Zealand",90,2015-06-06
"Ali Riley","New Zealand",90,2015-06-06
"Amber Hearn","New Zealand",90,2015-06-06
"Sarah Gregorius","New Zealand",67,2015-06-06
"Katie Bowen","New Zealand",72,2015-06-06
"Annalie Longo","New Zealand",90,2015-06-06
"Hannah Wilkinson","New Zealand",90,2015-06-06
"Rebecca Rolls","New Zealand",0,2015-06-06
"Cushla Lichtwark","New Zealand",0,2015-06-06
"Anna Green","New Zealand",0,2015-06-06
"Jasmine Pereira","New Zealand",23,2015-06-06
"Kirsty Yallop","New Zealand",0,2015-06-06
"Betsy Hassett","New Zealand",18,2015-06-06
"Rosie White","New Zealand",0,2015-06-06
"Meikayla Moore","New Zealand",0,2015-06-06
"CJ Bott","New Zealand",0,2015-06-06
"Evie Millynn","New Zealand",0,2015-06-06
"Daisy Cleverley","New Zealand",0,2015-06-06
"Emma Kete","New Zealand",0,2015-06-06
"Loes Geurts","Netherlands",90,2015-06-06
"Desiree van Lunteren","Netherlands",90,2015-06-06
"Stefanie van der Gragt","Netherlands",90,2015-06-06
"Mandy van den Berg","Netherlands",90,2015-06-06
"Petra Hogewoning","Netherlands",90,2015-06-06
"Anouk Dekker","Netherlands",84,2015-06-06
"Manon Melis","Netherlands",90,2015-06-06
"Sherida Spitse","Netherlands",90,2015-06-06
"Vivianne Miedema","Netherlands",81,2015-06-06
"Daniëlle van de Donk","Netherlands",90,2015-06-06
"Lieke Martens","Netherlands",90,2015-06-06
"Sari van Veenendaal","Netherlands",0,2015-06-06
"Angela Christ","Netherlands",0,2015-06-06
"Dyanne Bito","Netherlands",0,2015-06-06
"Dominique Janssen","Netherlands",0,2015-06-06
"Anouk Hoogendijk","Netherlands",0,2015-06-06
"Merel van Dongen","Netherlands",0,2015-06-06
"Tessel Middag","Netherlands",6,2015-06-06
"Maran van Erp","Netherlands",0,2015-06-06
"Kirsten van de Ven","Netherlands",0,2015-06-06
"Jill Roord","Netherlands",0,2015-06-06
"Vanity Lewerissa","Netherlands",0,2015-06-06
"Shanice van de Sanden","Netherlands",9,2015-06-06
"Hedvig Lindahl","Sweden",90,2015-06-08
"Emma Berglund","Sweden",73,2015-06-08
"Nilla Fischer","Sweden",90,2015-06-08
"Lisa Dahlkvist","Sweden",57,2015-06-08
"Lotta Schelin","Sweden",90,2015-06-08
"Kosovare Asllani","Sweden",45,2015-06-08
"Sofia Jakobsson","Sweden",90,2015-06-08
"Therese Sjögran","Sweden",90,2015-06-08
"Lina Nilsson","Sweden",90,2015-06-08
"Caroline Seger","Sweden",90,2015-06-08
"Elin Rubensson","Sweden",90,2015-06-08
"Hilda Carlén","Sweden",0,2015-06-08
"Carola Söberg","Sweden",0,2015-06-08
"Charlotte Rohlin","Sweden",0,2015-06-08
"Linda Sembrant","Sweden",33,2015-06-08
"Sara Thunebro","Sweden",0,2015-06-08
"Jenny Hjohlman","Sweden",0,2015-06-08
"Malin Diaz","Sweden",0,2015-06-08
"Amanda Ilestedt","Sweden",17,2015-06-08
"Jessica Samuelsson","Sweden",0,2015-06-08
"Emma Lundh","Sweden",0,2015-06-08
"Emilia Brodin","Sweden",0,2015-06-08
"Olivia Schough","Sweden",45,2015-06-08
"Precious Dede","Nigeria",90,2015-06-08
"Osinachi Ohale","Nigeria",90,2015-06-08
"Onome Ebi","Nigeria",90,2015-06-08
"Josephine Chukwunonye","Nigeria",90,2015-06-08
"Asisat Oshoala","Nigeria",90,2015-06-08
"Desire Oparanozie","Nigeria",90,2015-06-08
"Halimatu Ayinde","Nigeria",90,2015-06-08
"Ngozi Okobi","Nigeria",90,2015-06-08
"Evelyn Nwabuoku","Nigeria",90,2015-06-08
"Francisca Ordega","Nigeria",90,2015-06-08
"Ngozi Ebere","Nigeria",90,2015-06-08
"Christy Ohiaeriaku","Nigeria",0,2015-06-08
"Blessing Edoho","Nigeria",0,2015-06-08
"Perpetua Nkwocha","Nigeria",0,2015-06-08
"Esther Sunday","Nigeria",0,2015-06-08
"Courtney Dike","Nigeria",0,2015-06-08
"Iniabasi Umotong","Nigeria",0,2015-06-08
"Ugo Njoku","Nigeria",0,2015-06-08
"Ibubeleye Whyte","Nigeria",0,2015-06-08
"Loveth Ayila","Nigeria",0,2015-06-08
"Martina Ohadugha","Nigeria",0,2015-06-08
"Cecilia Nku","Nigeria",0,2015-06-08
"Sarah Nnodim","Nigeria",0,2015-06-08
"Annette Ngo Ndom","Cameroon",90,2015-06-08
"Christine Manie","Cameroon",90,2015-06-08
"Yvonne Leuko","Cameroon",90,2015-06-08
"Gabrielle Onguene","Cameroon",83,2015-06-08
"Raissa Feudjio","Cameroon",90,2015-06-08
"Madeleine Ngono Mani","Cameroon",74,2015-06-08
"Jeannette Yango","Cameroon",90,2015-06-08
"Claudine Meffometou","Cameroon",90,2015-06-08
"Cathy Bou Ndjouh","Cameroon",90,2015-06-08
"Gaëlle Enganamouit","Cameroon",90,2015-06-08
"Genevieve Ngo","Cameroon",61,2015-06-08
"Thècle Mbororo","Cameroon",0,2015-06-08
"Flore Enyegue","Cameroon",0,2015-06-08
"Ajara Nchout","Cameroon",16,2015-06-08
"Augustine Ejangue","Cameroon",0,2015-06-08
"Francine Zouga","Cameroon",29,2015-06-08
"Aurelle Awona","Cameroon",0,2015-06-08
"Ninon Abena","Cameroon",0,2015-06-08
"Ysis Sonkeng","Cameroon",0,2015-06-08
"Henriette Akaba","Cameroon",7,2015-06-08
"Agathe Ngani","Cameroon",0,2015-06-08
"Rose Bella","Cameroon",0,2015-06-08
"Wanki Awachwi","Cameroon",0,2015-06-08
"Shirley Berruz","Ecuador",90,2015-06-08
"Nancy Aguilar","Ecuador",90,2015-06-08
"Mayra Olvera","Ecuador",90,2015-06-08
"Angie Ponce","Ecuador",90,2015-06-08
"Ámbar Torres","Ecuador",54,2015-06-08
"Mónica Quinteros","Ecuador",72,2015-06-08
"Madelin Riera","Ecuador",90,2015-06-08
"Ligia Moreira","Ecuador",65,2015-06-08
"Kerlly Real","Ecuador",90,2015-06-08
"Denise Pesántes","Ecuador",90,2015-06-08
"Mabel Velarde","Ecuador",45,2015-06-08
"Irene Tobar","Ecuador",0,2015-06-08
"Andrea Vera","Ecuador",0,2015-06-08
"Katherine Ortíz","Ecuador",18,2015-06-08
"Merly Zambrano","Ecuador",0,2015-06-08
"Ingrid Rodríguez","Ecuador",45,2015-06-08
"Erika Vásquez","Ecuador",0,2015-06-08
"Giannina Lattanzio","Ecuador",36,2015-06-08
"Carina Caicedo","Ecuador",0,2015-06-08
"Ana Palacios","Ecuador",0,2015-06-08
"Alexandra Salvador","Ecuador",0,2015-06-08
"Adriana Barré","Ecuador",0,2015-06-08
"Mariela Jácome","Ecuador",0,2015-06-08
"Hope Solo","United States",90,2015-06-08
"Sydney Leroux","United States",79,2015-06-08
"Becky Sauerbrunn","United States",90,2015-06-08
"Carli Lloyd","United States",90,2015-06-08
"Ali Krieger","United States",90,2015-06-08
"Lauren Holiday","United States",90,2015-06-08
"Megan Rapinoe","United States",86,2015-06-08
"Julie Ertz","United States",90,2015-06-08
"Abby Wambach","United States",90,2015-06-08
"Meghan Klingenberg","United States",90,2015-06-08
"Christen Press","United States",68,2015-06-08
"Ashlyn Harris","United States",0,2015-06-08
"Alyssa Naeher","United States",0,2015-06-08
"Christie Pearce","United States",0,2015-06-08
"Kelley O'Hara","United States",0,2015-06-08
"Whitney Engen","United States",0,2015-06-08
"Shannon Boxx","United States",0,2015-06-08
"Amy Rodriguez","United States",0,2015-06-08
"Heather O'Reilly","United States",0,2015-06-08
"Alex Morgan","United States",11,2015-06-08
"Morgan Gautrat","United States",4,2015-06-08
"Lori Chalupny","United States",0,2015-06-08
"Tobin Heath","United States",22,2015-06-08
"Melissa Barbieri","Australia",90,2015-06-08
"Laura Alleway","Australia",83,2015-06-08
"Servet Uzunlar","Australia",90,2015-06-08
"Steph Catley","Australia",90,2015-06-08
"Elise Kellond-Knight","Australia",90,2015-06-08
"Caitlin Foord","Australia",90,2015-06-08
"Emily van Egmond","Australia",90,2015-06-08
"Lisa De Vanna","Australia",90,2015-06-08
"Katrina Gorry","Australia",80,2015-06-08
"Sam Kerr","Australia",90,2015-06-08
"Michelle Heyman","Australia",69,2015-06-08
"Lydia Williams","Australia",0,2015-06-08
"Mackenzie Arnold","Australia",0,2015-06-08
"Larissa Crummer","Australia",0,2015-06-08
"Ashleigh Sykes","Australia",7,2015-06-08
"Clare Polkinghorne","Australia",0,2015-06-08
"Leena Khamis","Australia",0,2015-06-08
"Tameka Yallop","Australia",0,2015-06-08
"Alanna Kennedy","Australia",10,2015-06-08
"Teresa Polias","Australia",0,2015-06-08
"Hayley Raso","Australia",0,2015-06-08
"Kyah Simon","Australia",21,2015-06-08
"Nicola Bolger","Australia",0,2015-06-08
"Sarah Bouhaddi","France",90,2015-06-09
"Wendie Renard","France",90,2015-06-09
"Laure Boulleau","France",90,2015-06-09
"Laura Georges","France",90,2015-06-09
"Amandine Henry","France",90,2015-06-09
"Jessica Houara","France",90,2015-06-09
"Eugénie Le Sommer","France",81,2015-06-09
"Camille Abily","France",90,2015-06-09
"Élodie Thomis","France",71,2015-06-09
"Louisa Cadamuro","France",87,2015-06-09
"Gaëtane Thiney","France",90,2015-06-09
"Céline Deville","France",0,2015-06-09
"Méline Gérard","France",0,2015-06-09
"Sabrina Delannoy","France",0,2015-06-09
"Kenza Dali","France",19,2015-06-09
"Claire Lavogez","France",3,2015-06-09
"Kadidiatou Diani","France",0,2015-06-09
"Élise Bussaglia","France",9,2015-06-09
"Marie-Laure Delie","France",0,2015-06-09
"Griedge Mbock Bathy","France",0,2015-06-09
"Anaïg Butel","France",0,2015-06-09
"Amel Majri","France",0,2015-06-09
"Kheira Hamraoui","France",0,2015-06-09
"Karen Bardsley","England",90,2015-06-09
"Alex Scott","England",68,2015-06-09
"Claire Rafferty","England",90,2015-06-09
"Fara Williams","England",90,2015-06-09
"Steph Houghton","England",90,2015-06-09
"Laura Bassett","England",90,2015-06-09
"Jill Scott","England",90,2015-06-09
"Eniola Aluko","England",90,2015-06-09
"Lucy Bronze","England",90,2015-06-09
"Katie Chapman","England",76,2015-06-09
"Ellen White","England",61,2015-06-09
"Siobhan Chamberlain","England",0,2015-06-09
"Carly Telford","England",0,2015-06-09
"Jordan Nobbs","England",0,2015-06-09
"Karen Carney","England",0,2015-06-09
"Jade Moore","England",14,2015-06-09
"Alex Greenwood","England",0,2015-06-09
"Casey Stoney","England",0,2015-06-09
"Jo Potter","England",0,2015-06-09
"Toni Duggan","England",29,2015-06-09
"Jodie Taylor","England",0,2015-06-09
"Lianne Sanderson","England",0,2015-06-09
"Fran Kirby","England",22,2015-06-09
"Ainhoa Tirapu","Spain",90,2015-06-09
"Celia Jiménez","Spain",62,2015-06-09
"Leire Landa","Spain",90,2015-06-09
"Michelle O'Neill","Spain",90,2015-06-09
"Sonia Bermúdez","Spain",72,2015-06-09
"Verónica Boquete","Spain",90,2015-06-09
"Jennifer Hermoso","Spain",84,2015-06-09
"Vicky Losada","Spain",90,2015-06-09
"Marta Torrejón","Spain",90,2015-06-09
"Irene Paredes","Spain",90,2015-06-09
"Alexia Putellas","Spain",90,2015-06-09
"Dolores Gallardo","Spain",0,2015-06-09
"Sandra Paños","Spain",0,2015-06-09
"Melanie Serrano","Spain",0,2015-06-09
"Ruth García","Spain",28,2015-06-09
"Virginia Torrecilla","Spain",0,2015-06-09
"Priscila Borja","Spain",6,2015-06-09
"Marta Corredera","Spain",18,2015-06-09
"Silvia Meseguer","Spain",0,2015-06-09
"Ivana Andrés","Spain",0,2015-06-09
"Elisabeth Ibarra","Spain",0,2015-06-09
"Erika Vázquez","Spain",0,2015-06-09
"Amanda Sampedro","Spain",0,2015-06-09
"Dinnia Díaz","Costa Rica",90,2015-06-09
"Diana Saenz","Costa Rica",90,2015-06-09
"Carol Sánchez","Costa Rica",90,2015-06-09
"Melissa Herrera","Costa Rica",88,2015-06-09
"Carolina Venegas","Costa Rica",80,2015-06-09
"Shirley Cruz","Costa Rica",90,2015-06-09
"Raquel Rodríguez","Costa Rica",90,2015-06-09
"Lixy Rodríguez","Costa Rica",90,2015-06-09
"María Barrantes","Costa Rica",74,2015-06-09
"Katherine Alvarado","Costa Rica",90,2015-06-09
"Wendy Acosta","Costa Rica",90,2015-06-09
"Noelia Bermúdez","Costa Rica",0,2015-06-09
"Yirliana Arroyo","Costa Rica",0,2015-06-09
"Gabriela Guillén","Costa Rica",2,2015-06-09
"Emilie Valenciano","Costa Rica",0,2015-06-09
"Mariana Benavides","Costa Rica",0,2015-06-09
"Daniela Cruz","Costa Rica",0,2015-06-09
"Cristín Granados","Costa Rica",10,2015-06-09
"Karla Villalobos","Costa Rica",16,2015-06-09
"Fabiola Sanchez","Costa Rica",0,2015-06-09
"Adriana Venegas","Costa Rica",0,2015-06-09
"María Coto","Costa Rica",0,2015-06-09
"Gloriana Villalobos","Costa Rica",0,2015-06-09
"Stefany Castaño","Colombia",90,2015-06-09
"Natalia Gaitán","Colombia",90,2015-06-09
"Diana Ospina","Colombia",88,2015-06-09
"Daniela Montoya","Colombia",90,2015-06-09
"Oriánica Velásquez","Colombia",90,2015-06-09
"Yoreli Rincón","Colombia",90,2015-06-09
"Catalina Usme","Colombia",78,2015-06-09
"Angela Clavijo","Colombia",90,2015-06-09
"Nataly Arias","Colombia",90,2015-06-09
"Lady Andrade","Colombia",77,2015-06-09
"Carolina Arias","Colombia",90,2015-06-09
"Sandra Sepúlveda","Colombia",0,2015-06-09
"Catalina Pérez","Colombia",0,2015-06-09
"Carolina Arbeláez","Colombia",0,2015-06-09
"Lina Granados","Colombia",0,2015-06-09
"Ingrid Vidal","Colombia",12,2015-06-09
"Mildrey Pineda","Colombia",0,2015-06-09
"Tatiana Ariza","Colombia",13,2015-06-09
"Yisela Cuesta","Colombia",2,2015-06-09
"Leicy Santos","Colombia",0,2015-06-09
"Laura Cosme","Colombia",0,2015-06-09
"Isabella Echeverri","Colombia",0,2015-06-09
"Manuela González","Colombia",0,2015-06-09
"Cecilia Santiago","Mexico",90,2015-06-09
"Kenti Robles","Mexico",90,2015-06-09
"Christina Murillo","Mexico",90,2015-06-09
"Alina Garciamendez","Mexico",90,2015-06-09
"Valeria Miranda","Mexico",90,2015-06-09
"Nayeli Rangel","Mexico",90,2015-06-09
"Charlyn Corral","Mexico",90,2015-06-09
"Stephany Mayor","Mexico",90,2015-06-09
"Mónica Ocampo","Mexico",87,2015-06-09
"Verónica Pérez","Mexico",90,2015-06-09
"Renae Cuéllar","Mexico",79,2015-06-09
"Pamela Tajonar","Mexico",0,2015-06-09
"Emily Alvarado","Mexico",0,2015-06-09
"Jenny Ruiz-Williams","Mexico",11,2015-06-09
"Teresa Noyola","Mexico",0,2015-06-09
"Greta Espinoza","Mexico",0,2015-06-09
"Arianna Romero","Mexico",0,2015-06-09
"Bianca Sierra","Mexico",0,2015-06-09
"Mónica Alvarado","Mexico",0,2015-06-09
"Amanda Perez","Mexico",0,2015-06-09
"Maria Sanchez","Mexico",0,2015-06-09
"Anisa Guajardo","Mexico",0,2015-06-09
"Fabiola Ibarra","Mexico",3,2015-06-09
"Erina Yamane","Japan",90,2015-06-08
"Azusa Iwashimizu","Japan",90,2015-06-08
"Saki Kumagai","Japan",90,2015-06-08
"Mizuho Sakaguchi","Japan",90,2015-06-08
"Kozue Ando","Japan",32,2015-06-08
"Aya Miyama","Japan",90,2015-06-08
"Homare Sawa","Japan",57,2015-06-08
"Shinobu Ohno","Japan",90,2015-06-08
"Rumi Utsugi","Japan",90,2015-06-08
"Yūki Nagasato","Japan",90,2015-06-08
"Saori Ariyoshi","Japan",90,2015-06-08
"Miho Fukumoto","Japan",0,2015-06-08
"Ayumi Kaihori","Japan",0,2015-06-08
"Yukari Kinga","Japan",0,2015-06-08
"Aya Sameshima","Japan",0,2015-06-08
"Nahomi Kawasumi","Japan",0,2015-06-08
"Megumi Kamionobe","Japan",0,2015-06-08
"Asuna Tanaka","Japan",0,2015-06-08
"Yuika Sugasawa","Japan",58,2015-06-08
"Mana Iwabuchi","Japan",0,2015-06-08
"Yuri Kawamura","Japan",33,2015-06-08
"Asano Nagasato","Japan",0,2015-06-08
"Kana Kitahara","Japan",0,2015-06-08
"Gaëlle Thalmann","Switzerland",90,2015-06-08
"Rachel Rinast","Switzerland",90,2015-06-08
"Noelle Maritz","Switzerland",90,2015-06-08
"Martina Moser","Switzerland",81,2015-06-08
"Lia Wälti","Switzerland",90,2015-06-08
"Ramona Bachmann","Switzerland",90,2015-06-08
"Lara Dickenmann","Switzerland",90,2015-06-08
"Ana-Maria Crnogorčević","Switzerland",90,2015-06-08
"Caroline Abbé","Switzerland",90,2015-06-08
"Fabienne Humm","Switzerland",45,2015-06-08
"Vanessa Bernauer","Switzerland",90,2015-06-08
"Stenia Michel","Switzerland",0,2015-06-08
"Jennifer Oehrli","Switzerland",0,2015-06-08
"Nicole Remund","Switzerland",0,2015-06-08
"Sandra Betschart","Switzerland",0,2015-06-08
"Selina Kuster","Switzerland",0,2015-06-08
"Cinzia Zehnder","Switzerland",9,2015-06-08
"Rahel Kiwic","Switzerland",0,2015-06-08
"Florijana Ismaili","Switzerland",0,2015-06-08
"Vanessa Bürki","Switzerland",0,2015-06-08
"Eseosa Aigbogun","Switzerland",45,2015-06-08
"Daniela Schwarz","Switzerland",0,2015-06-08
"Barla Deplazes","Switzerland",0,2015-06-08
"Luciana Maria Dionizio","Brazil",90,2015-06-09
"Fabiana da Silva Simões","Brazil",90,2015-06-09
"Mônica","Brazil",90,2015-06-09
"Andressinha","Brazil",81,2015-06-09
"Tamires","Brazil",90,2015-06-09
"Thaisa","Brazil",90,2015-06-09
"Andressa","Brazil",90,2015-06-09
"Marta","Brazil",90,2015-06-09
"Cristiane","Brazil",90,2015-06-09
"Rafaelle","Brazil",82,2015-06-09
"Formiga","Brazil",90,2015-06-09
"Bárbara","Brazil",0,2015-06-09
"Letícia Izidoro","Brazil",0,2015-06-09
"Rafinha","Brazil",0,2015-06-09
"Beatriz","Brazil",0,2015-06-09
"Poliana","Brazil",0,2015-06-09
"Géssica do Nascimento","Brazil",8,2015-06-09
"Tayla","Brazil",0,2015-06-09
"Rosana","Brazil",0,2015-06-09
"Raquel","Brazil",9,2015-06-09
"Maurine Dorneles Gonçalves","Brazil",0,2015-06-09
"Gabi Zanotti","Brazil",0,2015-06-09
"Darlene De Souza","Brazil",0,2015-06-09
"Kim Jung-mi","Korea Republic",90,2015-06-09
"Lee Eun-mi","Korea Republic",90,2015-06-09
"Shim Seo-yeon","Korea Republic",90,2015-06-09
"Kim Do-yeon","Korea Republic",90,2015-06-09
"Jeon Ga-eul","Korea Republic",90,2015-06-09
"Cho So-hyun","Korea Republic",90,2015-06-09
"Ji So-yun","Korea Republic",90,2015-06-09
"Yoo Young-a","Korea Republic",67,2015-06-09
"Kwon Hah-nul","Korea Republic",77,2015-06-09
"Kang Yu-mi","Korea Republic",90,2015-06-09
"Kim Hye-ri","Korea Republic",90,2015-06-09
"Jun Min-kyung","Korea Republic",0,2015-06-09
"Yoon Young-geul","Korea Republic",0,2015-06-09
"Lim Seon-joo","Korea Republic",0,2015-06-09
"Hwang Bo-ram","Korea Republic",0,2015-06-09
"Park Eun-sun","Korea Republic",0,2015-06-09
"Jung Seol-bin","Korea Republic",23,2015-06-09
"Song Su-ran","Korea Republic",0,2015-06-09
"Park Hee-young","Korea Republic",0,2015-06-09
"Kim Hye-yeong","Korea Republic",0,2015-06-09
"Kim Soo-yun","Korea Republic",0,2015-06-09
"Lee So-dam","Korea Republic",13,2015-06-09
"Lee Geum-min","Korea Republic",0,2015-06-09
"Wang Fei","China PR",90,2015-06-11
"Liu Shanshan","China PR",90,2015-06-11
"Wu Haiyan","China PR",90,2015-06-11
"Li Dongna","China PR",90,2015-06-11
"Wang Shanshan","China PR",57,2015-06-11
"Tang Jiali","China PR",86,2015-06-11
"Zhao Rong","China PR",90,2015-06-11
"Han Peng","China PR",90,2015-06-11
"Tan Ruyin","China PR",90,2015-06-11
"Wang Lisi","China PR",90,2015-06-11
"Ren Guixin","China PR",71,2015-06-11
"Zhang Yue","China PR",0,2015-06-11
"Zhao Lina","China PR",0,2015-06-11
