player,team,group_1,group_2,group_3,round_of_16,quarterfinals,semifinals,finals
Erin McLeod,Canada,90,90,90,90,90,,
Kadeisha Buchanan,Canada,90,90,90,90,90,,
Josée Bélanger,Canada,90,90,90,90,90,,
Lauren Sesselmann,Canada,90,68,0,90,90,,
Desiree Scott,Canada,71,73,29,90,77,,
Christine Sinclair,Canada,90,90,90,90,90,,
Sophie Schmidt,Canada,90,90,81,90,90,,
Melissa Tancredi,Canada,77,90,29,69,71,,
Allysha Chapman,Canada,90,90,90,90,90,,
Jonelle Filigno,Canada,61,63,0,21,0,,
Ashley Lawrence,Canada,90,90,90,76,90,,
Stephanie Labbé,Canada,0,0,0,0,0,,
Karina LeBlanc,Canada,0,0,0,0,0,,
Emily Zurrer,Canada,0,0,0,0,0,,
Carmelina Moscato,Canada,0,22,90,0,0,,
Robyn Gayle,Canada,0,0,0,0,0,,
Kaylyn Kyle,Canada,29,27,61,14,13,,
Rhian Wilkinson,Canada,0,0,9,88,62,,
Diana Matheson,Canada,0,0,0,0,28,,
Jessie Fleming,Canada,19,0,61,0,0,,
Selenia Iacchelli,Canada,0,0,0,0,0,,
Adriana Leon,Canada,13,17,90,0,19,,
Marie-Ève Nault,Canada,0,0,0,2,0,,
Wang Fei,China PR,90,90,90,90,90,,
Liu Shanshan,China PR,90,90,90,90,90,,
Wu Haiyan,China PR,90,90,90,90,90,,
Li Dongna,China PR,90,90,90,90,90,,
Wang Shanshan,China PR,90,57,90,90,90,,
Li Ying,China PR,62,0,0,0,0,,
Zhao Rong,China PR,90,90,90,90,90,,
Gu Yasha,China PR,87,0,0,0,0,,
Tan Ruyin,China PR,90,90,90,90,58,,
Wang Lisi,China PR,42,90,90,72,90,,
Ren Guixin,China PR,90,71,90,90,90,,
Zhang Yue,China PR,0,0,0,0,0,,
Zhao Lina,China PR,0,0,0,0,0,,
Pang Fengyue,China PR,0,0,0,0,32,,
Li Jiayue,China PR,0,0,0,0,0,,
Xu Yanlu,China PR,0,0,0,0,0,,
Ma Jun,China PR,3,19,0,0,0,,
Wang Shuang,China PR,0,33,18,50,55,,
Tang Jiali,China PR,0,86,72,40,16,,
Lei Jiahui,China PR,0,0,0,0,0,,
Lou Jiahui,China PR,0,4,6,18,35,,
Han Peng,China PR,48,90,84,90,74,,
Zhang Rui,China PR,28,0,0,0,0,,
Ingrid Hjelmseth,Norway,90,90,79,90,,,
Gry Tofte Ims,Norway,90,45,0,90,,,
Maren Mjelde,Norway,90,90,26,90,,,
Trine Rønning,Norway,63,0,0,45,,,
