home,away,score_progression
NGA,FRA,"[(0, [0, 0]), (55, [0, 1])]"
GER,CAN,"[(0, [0, 0]), (9, [1, 0]), (41, [2, 0]), (81, [2, 1])]"
JPN,NZL,"[(0, [0, 0]), (5, [1, 0]), (11, [1, 1]), (67, [2, 1])]"
MEX,ENG,"[(0, [0, 0]), (20, [0, 1]), (32, [1, 1])]"
COL,SWE,"[(0, [0, 0]), (56, [0, 1])]"
USA,PRK,"[(0, [0, 0]), (53, [1, 0]), (75, [2, 0])]"
NOR,EQG,"[(0, [0, 0]), (83, [1, 0])]"
BRA,AUS,"[(0, [0, 0]), (53, [1, 0])]"
CAN,FRA,"[(0, [0, 0]), (23, [0, 1]), (59, [0, 2]), (65, [0, 3]), (82, [0, 4])]"
GER,NGA,"[(0, [0, 0]), (53, [1, 0])]"
JPN,MEX,"[(0, [0, 0]), (12, [1, 0]), (14, [2, 0]), (38, [3, 0]), (79, [4, 0])]"
NZL,ENG,"[(0, [0, 0]), (17, [1, 0]), (62, [1, 1]), (80, [1, 2])]"
PRK,SWE,"[(0, [0, 0]), (63, [0, 1])]"
USA,COL,"[(0, [0, 0]), (11, [1, 0]), (49, [2, 0]), (56, [3, 0])]"
AUS,EQG,"[(0, [0, 0]), (7, [1, 0]), (20, [1, 1]), (47, [2, 1]), (50, [3, 1]), (82, [3, 2])]"
BRA,NOR,"[(0, [0, 0]), (21, [1, 0]), (46, [2, 0]), (47, [3, 0])]"
NZL,MEX,"[(0, [0, 0]), (1, [0, 1]), (28, [0, 2]), (89, [1, 2]), (93, [2, 2])]"
ENG,JPN,"[(0, [0, 0]), (14, [1, 0]), (65, [2, 0])]"
FRA,GER,"[(0, [0, 0]), (24, [0, 1]), (31, [0, 2]), (55, [1, 2]), (71, [2, 3]), (88, [2, 4])]"
CAN,NGA,"[(0, [0, 0]), (72, [0, 1])]"
EQG,BRA,"[(0, [0, 0]), (49, [0, 1]), (53, [0, 2])]"
AUS,NOR,"[(0, [0, 0]), (55, [0, 1]), (56, [1, 1]), (86, [2, 1])]"
SWE,USA,"[(0, [0, 0]), (66, [2, 1])]"
PRK,COL,"[(0, [0, 0])]"
