home,away,score_progression
FRA,KOR,"[(0, [0, 0]), (8, [1, 0]), (34, [2, 0]), (45, [3, 0]), (84, [4, 0])]"
GER,CHN,"[(0, [0, 0]), (65, [1, 0])]"
ESP,RSA,"[(0, [0, 0]), (24, [0, 1]), (68, [1, 1]), (81, [2, 1]), (88, [3, 1])]"
NOR,NGA,"[(0, [0, 0]), (16, [1, 0]), (33, [2, 0]), (36, [3, 0])]"
AUS,ITA,"[(0, [0, 0]), (21, [1, 0]), (55, [1, 1]), (90, [1, 2])]"
BRA,JAM,"[(0, [0, 0]), (14, [1, 0]), (49, [2, 0]), (63, [3, 0])]"
ENG,SCO,"[(0, [0, 0]), (13, [1, 0]), (39, [2, 0]), (78, [2, 1])]"
ARG,JPN,"[(0, [0, 0])]"
CAN,CMR,"[(0, [0, 0]), (44, [1, 0])]"
NZL,NED,"[(0, [0, 0]), (90, [0, 1])]"
CHI,SWE,"[(0, [0, 0]), (82, [0, 1]), (90, [0, 2])]"
USA,THA,"[(0, [0, 0]), (11, [1, 0]), (19, [2, 0]), (31, [3, 0]), (49, [4, 0]), (52, [5, 0]), (53, [6, 0]), (55, [7, 0]), (73, [8, 0]), (78, [9, 0]), (80, [10, 0]), (84, [11, 0]), (86, [12, 0]), (90, [13, 0])]"
NGA,KOR,"[(0, [0, 0]), (28, [1, 0]), (74, [2, 0])]"
GER,ESP,"[(0, [0, 0]), (41, [1, 0])]"
FRA,NOR,"[(0, [0, 0]), (45, [1, 0]), (53, [1, 1]), (71, [2, 1])]"
AUS,BRA,"[(0, [0, 0]), (26, [0, 1]), (37, [0, 2]), (45, [1, 2]), (57, [2, 2]), (65, [3, 2])]"
RSA,CHN,"[(0, [0, 0]), (39, [0, 1])]"
JPN,SCO,"[(0, [0, 0]), (22, [1, 0]), (36, [2, 0]), (87, [2, 1])]"
JAM,ITA,"[(0, [0, 0]), (11, [0, 1]), (24, [0, 2]), (45, [0, 3]), (70, [0, 4]), (80, [0, 5])]"
ENG,ARG,"[(0, [0, 0]), (61, [1, 0])]"
NED,CMR,"[(0, [0, 0]), (40, [1, 0]), (42, [1, 1]), (47, [2, 1]), (84, [3, 1])]"
CAN,NZL,"[(0, [0, 0]), (47, [1, 0]), (78, [2, 0])]"
SWE,THA,"[(0, [0, 0]), (5, [1, 0]), (18, [2, 0]), (41, [3, 0]), (80, [4, 0]), (90, [4, 1]), (90, [5, 1])]"
USA,CHI,"[(0, [0, 0]), (10, [1, 0]), (25, [2, 0]), (34, [3, 0])]"
RSA,GER,"[(0, [0, 0]), (13, [0, 1]), (28, [0, 2]), (39, [0, 3]), (57, [0, 4])]"
CHN,ESP,"[(0, [0, 0])]"
NGA,FRA,"[(0, [0, 0]), (78, [0, 1])]"
KOR,NOR,"[(0, [0, 0]), (4, [0, 1]), (49, [0, 2]), (77, [1, 2])]"
ITA,BRA,"[(0, [0, 0]), (73, [0, 1])]"
JAM,AUS,"[(0, [0, 0]), (10, [0, 1]), (41, [0, 2]), (48, [1, 2]), (68, [1, 3]), (82, [1, 4])]"
SCO,ARG,"[(0, [0, 0]), (18, [1, 0]), (48, [2, 0]), (68, [3, 0]), (73, [3, 1]), (78, [3, 2]), (90, [3, 3])]"
JPN,ENG,"[(0, [0, 0]), (14, [0, 1]), (83, [0, 2])]"
CMR,NZL,"[(0, [0, 0]), (56, [1, 0]), (79, [1, 1]), (90, [2, 1])]"
NED,CAN,"[(0, [0, 0]), (53, [1, 0]), (59, [1, 1]), (74, [2, 1])]"
SWE,USA,"[(0, [0, 0]), (2, [0, 1]), (49, [0, 2])]"
THA,CHI,"[(0, [0, 0]), (47, [0, 1]), (79, [0, 2])]"
