match_number,date,stage,home,away,attendance,home_score,away_score,home_penalty_score,away_penalty_score,home_placeholder,away_placeholder,completed,humidity,temperature,wind,group,stadium,winner,match_id,result_id,competition_id,stage_id,season_id
1,2023-07-20T19:00:00Z,First Stage,NZL,NOR,42137,1,0,0,0,A1,A2,1,84,14,26,A,Eden Park,NZL,400222852,131872,103,285033,285026
2,2023-07-20T20:00:00Z,First Stage,AUS,IRL,75784,1,0,0,0,B1,B2,1,41,13,10,B,Stadium Australia,AUS,400222851,131878,103,285033,285026
4,2023-07-21T12:30:00Z,First Stage,NGA,CAN,21410,0,0,0,0,B3,B4,1,58,12,13,B,Melbourne Rectangular Stadium,,400222848,131879,103,285033,285026
3,2023-07-21T17:00:00Z,First Stage,PHI,SUI,13711,0,2,0,0,A3,A4,1,63,8,36,A,Dunedin Stadium,SUI,400222854,131873,103,285033,285026
5,2023-07-21T19:30:00Z,First Stage,ESP,CRC,22966,3,0,0,0,C1,C2,1,69,10,37,C,Wellington Regional Stadium,ESP,400222844,131884,103,285033,285026
9,2023-07-22T13:00:00Z,First Stage,USA,VIE,41107,3,0,0,0,E1,E2,1,61,14,13,E,Eden Park,USA,400222864,131896,103,285033,285026
6,2023-07-22T19:00:00Z,First Stage,ZAM,JPN,16111,0,5,0,0,C3,C4,1,76,9,5,C,Waikato Stadium,JPN,400222842,131885,103,285033,285026
7,2023-07-22T19:30:00Z,First Stage,ENG,HAI,44369,1,0,0,0,D1,PTW B,1,61,15,8,D,Brisbane Stadium,ENG,400222836,131890,103,285033,285026
8,2023-07-22T20:00:00Z,First Stage,DEN,CHN,16989,1,0,0,0,D3,D4,1,82,11,7,D,Perth Rectangular Stadium,DEN,400222837,131891,103,285033,285026
12,2023-07-23T17:00:00Z,First Stage,SWE,RSA,18317,2,1,0,0,G1,G2,1,88,10,13,G,Wellington Regional Stadium,SWE,400222873,131908,103,285033,285026
10,2023-07-23T19:30:00Z,First Stage,NED,POR,11991,1,0,0,0,E3,PTW A,1,96,9,16,E,Dunedin Stadium,NED,400222866,131897,103,285033,285026
11,2023-07-23T20:00:00Z,First Stage,FRA,JAM,39045,0,0,0,0,F1,F2,1,74,14,19,F,Sydney Football Stadium,,400222862,131902,103,285033,285026
14,2023-07-24T18:00:00Z,First Stage,ITA,ARG,30889,1,0,0,0,G3,G4,1,84,14,15,G,Eden Park,ITA,400222870,131909,103,285033,285026
15,2023-07-24T18:30:00Z,First Stage,GER,MAR,27256,6,0,0,0,H1,H2,1,85,12,3,H,Melbourne Rectangular Stadium,GER,400222878,131914,103,285033,285026
13,2023-07-24T20:30:00Z,First Stage,BRA,PAN,13142,4,0,0,0,F3,PTW C,1,88,12,7,F,Hindmarsh Stadium,BRA,400222858,131903,103,285033,285026
16,2023-07-25T12:00:00Z,First Stage,COL,KOR,24323,2,0,0,0,H3,H4,1,56,17,13,H,Sydney Football Stadium,COL,400222880,131915,103,285033,285026
17,2023-07-25T17:30:00Z,First Stage,NZL,PHI,32357,0,1,0,0,A1,A3,1,84,12,19,A,Wellington Regional Stadium,PHI,400222857,131874,103,285033,285026
18,2023-07-25T20:00:00Z,First Stage,SUI,NOR,10769,0,0,0,0,A4,A2,1,81,12,23,A,Waikato Stadium,,400222856,131875,103,285033,285026
21,2023-07-26T17:00:00Z,First Stage,JPN,CRC,6992,2,0,0,0,C4,C2,1,61,8,13,C,Dunedin Stadium,JPN,400222841,131887,103,285033,285026
20,2023-07-26T19:30:00Z,First Stage,ESP,ZAM,20983,5,0,0,0,C1,C3,1,74,9,26,C,Eden Park,ESP,400222840,131886,103,285033,285026
19,2023-07-26T20:00:00Z,First Stage,CAN,IRL,17065,2,1,0,0,B4,B2,1,87,11,18,B,Perth Rectangular Stadium,CAN,400222850,131880,103,285033,285026
23,2023-07-27T13:00:00Z,First Stage,USA,NED,27312,1,1,0,0,E1,E3,1,57,13,25,E,Wellington Regional Stadium,,400222869,131898,103,285033,285026
24,2023-07-27T19:30:00Z,First Stage,POR,VIE,6645,2,0,0,0,PTW A,E2,1,72,9,20,E,Waikato Stadium,POR,400222868,131899,103,285033,285026
22,2023-07-27T20:00:00Z,First Stage,AUS,NGA,49156,2,3,0,0,B1,B3,1,69,15,6,B,Brisbane Stadium,NGA,400222846,131881,103,285033,285026
27,2023-07-28T12:00:00Z,First Stage,ARG,RSA,8834,2,2,0,0,G4,G2,1,75,7,9,G,Dunedin Stadium,,400222871,131910,103,285033,285026
