match_number,date,stage,home,away,attendance,home_score,away_score,home_penalty_score,away_penalty_score,home_placeholder,away_placeholder,completed,humidity,temperature,wind,group,stadium,winner,match_id,result_id,competition_id,stage_id,season_id
1,1999-06-19T15:00:00Z,Group Matches,USA,DEN,,3,0,,,,,0,,,,A,Giants Stadium,USA,21901,21901,103,4645,4644
4,1999-06-19T17:30:00Z,Group Matches,BRA,MEX,,7,1,,,,,0,,,,B,Giants Stadium,BRA,22153,22153,103,4645,4644
7,1999-06-19T17:00:00Z,Group Matches,CHN,SWE,,2,1,,,,,0,,,,D,Spartan Stadium,CHN,22165,22165,103,4645,4644
6,1999-06-19T19:00:00Z,Group Matches,JPN,CAN,,1,1,,,,,0,,,,C,Spartan Stadium,,22159,22159,103,4645,4644
5,1999-06-20T16:00:00Z,Group Matches,NOR,RUS,,2,1,,,,,0,,,,C,Foxboro Stadium,NOR,22161,22161,103,4645,4644
3,1999-06-20T16:00:00Z,Group Matches,GER,ITA,,1,1,,,,,0,,,,B,Rose Bowl,,22155,22155,103,4645,4644
8,1999-06-20T19:30:00Z,Group Matches,AUS,GHA,,1,1,,,,,0,,,,D,Foxboro Stadium,,22167,22167,103,4645,4644
2,1999-06-20T18:30:00Z,Group Matches,PRK,NGA,,1,2,,,,,0,,,,A,Rose Bowl,NGA,22149,22149,103,4645,4644
13,1999-06-23T18:00:00Z,Group Matches,NOR,CAN,,7,1,,,,,0,,,,C,Jack Kent Cooke Stadium,NOR,22160,22160,103,4645,4644
16,1999-06-23T20:30:00Z,Group Matches,AUS,SWE,,1,3,,,,,0,,,,D,Jack Kent Cooke Stadium,SWE,22166,22166,103,4645,4644
14,1999-06-23T18:00:00Z,Group Matches,JPN,RUS,,0,5,,,,,0,,,,C,Civic Stadium,RUS,22163,22163,103,4645,4644
15,1999-06-23T20:30:00Z,Group Matches,CHN,GHA,,7,0,,,,,0,,,,D,Civic Stadium,CHN,22169,22169,103,4645,4644
12,1999-06-24T17:00:00Z,Group Matches,BRA,ITA,,2,0,,,,,0,,,,B,Soldier Field,BRA,22157,22157,103,4645,4644
9,1999-06-24T19:00:00Z,Group Matches,USA,NGA,,7,1,,,,,0,,,,A,Soldier Field,USA,22151,22151,103,4645,4644
10,1999-06-24T18:00:00Z,Group Matches,PRK,DEN,,3,1,,,,,0,,,,A,Civic Stadium,PRK,22148,22148,103,4645,4644
11,1999-06-24T20:30:00Z,Group Matches,GER,MEX,,6,0,,,,,0,,,,B,Civic Stadium,GER,22154,22154,103,4645,4644
22,1999-06-26T12:00:00Z,Group Matches,CAN,RUS,,1,4,,,,,0,,,,C,Giants Stadium,RUS,22164,22164,103,4645,4644
23,1999-06-26T14:30:00Z,Group Matches,CHN,AUS,,3,1,,,,,0,,,,D,Giants Stadium,CHN,22170,22170,103,4645,4644
24,1999-06-26T16:00:00Z,Group Matches,GHA,SWE,,0,2,,,,,0,,,,D,Soldier Field,SWE,22168,22168,103,4645,4644
21,1999-06-26T18:30:00Z,Group Matches,NOR,JPN,,4,0,,,,,0,,,,C,Soldier Field,NOR,22162,22162,103,4645,4644
19,1999-06-27T13:30:00Z,Group Matches,GER,BRA,,3,3,,,,,0,,,,B,Jack Kent Cooke Stadium,,22158,22158,103,4645,4644
18,1999-06-27T16:00:00Z,Group Matches,NGA,DEN,,2,0,,,,,0,,,,A,Jack Kent Cooke Stadium,NGA,22152,22152,103,4645,4644
20,1999-06-27T16:30:00Z,Group Matches,MEX,ITA,,0,2,,,,,0,,,,B,Foxboro Stadium,ITA,22156,22156,103,4645,4644
17,1999-06-27T19:00:00Z,Group Matches,USA,PRK,,3,0,,,,,0,,,,A,Foxboro Stadium,USA,22150,22150,103,4645,4644
28,1999-06-30T17:00:00Z,Quarter-final,CHN,RUS,,2,0,,,,,0,,,,,Spartan Stadium,CHN,22171,22171,103,4650,4644
27,1999-06-30T19:30:00Z,Quarter-final,NOR,SWE,,3,1,,,,,0,,,,,Spartan Stadium,NOR,22177,22177,103,4650,4644
25,1999-07-01T19:00:00Z,Quarter-final,USA,GER,,3,2,,,,,0,,,,,Jack Kent Cooke Stadium,USA,22178,22178,103,4650,4644
26,1999-07-01T21:30:00Z,Quarter-final,BRA,NGA,,4,3,,,,,0,,,,,Jack Kent Cooke Stadium,BRA,22179,22179,103,4650,4644
29,1999-07-04T13:30:00Z,Semi-final,USA,BRA,,2,0,,,,,0,,,,,Stanford Stadium,USA,22181,22181,103,4651,4644
30,1999-07-04T19:30:00Z,Semi-final,NOR,CHN,,0,5,,,,,0,,,,,Foxboro Stadium,CHN,22180,22180,103,4651,4644
31,1999-07-10T10:15:00Z,Match for third place,BRA,NOR,,0,0,5.0,4.0,,,0,,,,,Rose Bowl,BRA,22182,22182,103,4652,4644
32,1999-07-10T12:50:00Z,Final,USA,CHN,,0,0,5.0,4.0,,,0,,,,,Rose Bowl,USA,22183,22183,103,4653,4644
